X1,version,uid,type,f2525b,typeDescription,how,parsedhow,time,start,stale,access,opex,opexDescription,qos,qosDescription,flowTagsVersion,remarksSource,remarksTime,remarksTo,remarksKeywords,remarksVersion,requestNotify,requestWilcoby,requestPriority,requestVersion,requestTo,requestAuthority,requestStreamTo,sensorAzimuth,sensorElevation,sensorRoll,sensorFOV,sensorVFOV,sensorNorth,sensorVersion,sensorType,sensorModel,sensorRange,spatialAttitudeRoll,spatialAttitudePitch,spatialAttitudeYaw,spatialAttitudeERoll,spatialAttitudeEPitch,spatialAttitudeEYaw,spatialSpinRoll,spatialSpinPitch,spatialSpinYaw,spatialSpinERoll,spatialSpinEPitch,spatialSpinEYaw,spatialVersion,trackCourse,trackSpeed,trackSlope,trackECourse,trackESpeed,trackESlope,trackVersion,uidVersion,objectid,globalid,x,y
53589,2,2419815533009481,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619615423000,1619615400000,1619615520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,23.7,NA,NA,NA,NA,NA,NA,53590,{39B796AB-46E1-49D6-B12A-A3344B31B6F1},-76.11171,36.9757
280729,2,3194184922893075,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619702063000,1619702081000,1619702201000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.44455055671477,6.7,NA,NA,NA,NA,NA,NA,280730,{8EF5BD17-F18E-4950-BA3F-3FB80B0CB8A0},-76.23621,37.0791
542624,2,1255994561962278,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619710729000,1619710726000,1619710846000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,0.5,NA,NA,NA,NA,NA,NA,542625,{660FBD25-26D6-415E-ADEE-13100EBA5883},-76.35042,36.88164
655222,2,532405619794581,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619714418000,1619714426000,1619714546000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.01273117527563,139.928768,NA,NA,NA,NA,NA,NA,655223,{F8BF57B7-A7BB-411D-8ADB-DB14CE3FE4C2},-77.72313,37.64241
649076,2,1964374639941812,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619714208000,1619714208000,1619714328000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.30758567689156,235.10090799999998,NA,NA,NA,NA,NA,NA,649077,{BF2541C2-990A-4F57-A7B8-DE462B098816},-77.88399,37.3247
963572,2,3751988625291857,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619725299000,1619725324000,1619725444000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.0196022823889,234.58646400000003,NA,NA,NA,NA,NA,NA,963573,{E86CB5B9-5465-4DCF-93B6-C7ADB3EB53AE},-75.65764,37.69107
635772,2,1328588057242439,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619713758000,1619713684000,1619713804000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.99725543342856,32.924416,NA,NA,NA,NA,NA,NA,635773,{EE89F5D7-CF28-44A0-8F74-1489BC6D6514},-76.43936,36.78018
895966,2,3257083027228217,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619722898000,1619722902000,1619723022000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.24231111709787,218.6387,NA,NA,NA,NA,NA,NA,895967,{3C84B4B0-571C-4B74-ADFB-30E21FBA7216},-77.14605,35.99256
642299,2,2305531097818687,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619713978000,1619713884000,1619714004000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.173146693655895,246.41867600000003,NA,NA,NA,NA,NA,NA,642300,{8C53531C-9B7E-495A-99B8-8521070A424A},-77.70809,37.66155
403266,2,ANDURIL-LATTICE-C088,a-f-G-E-S,SFGPES---------,friendly ground equipment sensor,m-g,machine gps,1619706158000,1619706178000,1619706298000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,403267,{B9CF5E56-FD0F-4BDC-AB14-169CEC0287C0},-76.00846819999998,36.92411299999999
